Dataset,Learning Rate,MSE,MAE,RMSE,R-squared
linear_data_A,0.1,0.013356333749635324,0.10095600779556413,0.11556960564800471,0.5689641130867413
linear_data_A,0.01,0.013355229539356039,0.10095149880498926,0.11556482829717717,0.5689997481843656
linear_data_A,0.001,0.08315645283790848,0.23691757234746919,0.28836860584659435,-1.6836268150701983
linear_data_B,0.1,0.21370133999416518,0.4038240311822565,0.46227842259201885,0.04477536473581445
linear_data_B,0.01,0.21369682365896048,0.40381943393609915,0.4622735377013922,0.04479555232401
linear_data_B,0.001,0.26870180820833145,0.4403913458737695,0.5183645514580751,-0.20107148952663834
linear_data_C,0.1,0.013182793631671172,0.09868229952957776,0.11481634740606919,0.9953516857442621
linear_data_C,0.01,0.01318285194198864,0.09868109058967203,0.11481660133442655,0.9953516651837735
linear_data_C,0.001,0.28522489191953326,0.4273488119851382,0.53406450164707,0.8994283785179172
linear_data_D,0.1,0.08239246019794483,0.24670574882394442,0.28704086851517296,0.9716056317069087
linear_data_D,0.01,0.08239259798771861,0.24670454246976223,0.28704110853276504,0.9716055842213308
linear_data_D,0.001,0.35401418955181013,0.4777943162702677,0.5949909155204054,0.8779984326846808
